Trial name,batch_size,dropout_p,layers,lr,num_warmup,step_lr,iter,total time (s),val loss,val err
train_58e37148,5,0.116492,feat_heavy,2.05988e-05,6,64,14,4644.56,9.43669,0.810501
train_2e5f755c,5,0.182428,feat_heavy,0.000367504,5,51,23,7694.9,1.01878,0.0764994
train_2e5f0ed2,5,0.0185802,cost_heavy,0.00117898,6,63,26,9629.62,0.698654,0.0461563
train_2e5f3312,5,0.215737,feat_heavy,0.00210635,8,45,22,7323.98,0.957306,0.0668569
train_2e5ee57e,5,0.07273,feat_heavy,6.89088e-06,5,81,14,4652.15,9.67885,0.816496
train_2e5f955a,5,0.282743,feat_heavy,0.00108078,7,35,14,4638.25,8.8133,0.736065
train_2e5fd682,5,0.176061,cost_heavy,0.00137827,7,40,21,7825.89,0.909555,0.0637614
train_2e5ff572,5,0.124393,feat_heavy,0.00199122,4,53,27,9356.76,0.892997,0.0637424
train_2e5fb72e,5,0.130132,feat_heavy,0.00295651,4,46,21,7281.35,0.89749,0.0638609
train_58e34cae,5,0.188886,cost_heavy,5.34506e-05,8,70,14,5416.25,11.7082,0.846165
train_58e329d6,5,0.23916,feat_heavy,0.00407504,8,87,32,10877.9,0.898827,0.0596025
train_b1c14_00024,4,0.0911741,feat_heavy,0.00136942,4,52,24,6747.91,0.749863,0.0519572
train_b1c14_00021,4,0.030792,cost_heavy,3.2084e-05,5,77,14,4297.5,6.82512,0.703692
train_b1c14_00020,4,0.363027,cost_heavy,7.41225e-06,6,52,14,4269.56,32.6793,0.979832
train_b1c14_00019,4,0.0431566,cost_heavy,0.000166126,4,59,24,7753.02,0.79013,0.0572346
train_b1c14_00018,4,0.308387,feat_heavy,1.34111e-05,6,77,14,3857.95,20.9092,0.917937
train_b1c14_00015,4,0.0463476,cost_heavy,0.00080807,5,39,20,6234.39,0.750048,0.0532521
train_b1c14_00013,4,0.394755,cost_heavy,0.000230817,4,79,14,4316.23,9.7572,0.82993
train_b1c14_00012,4,0.112374,feat_heavy,8.19232e-05,5,81,14,3897.67,7.54514,0.728583
train_b1c14_00006,4,0.386253,cost_heavy,0.000357009,8,39,14,4282.03,10.8594,0.84109
train_b1c14_00001,4,0.283229,cost_heavy,1.7131e-05,6,83,14,4314.17,14.1275,0.85752
train_b1c14_00000,4,0.0624075,cost_heavy,7.44929e-05,6,75,30,9802.53,0.906411,0.0676943
train_c87685ca,5,0.253362,feat_heavy,4.21175e-05,7,86,14,4677.3,12.3718,0.870476
train_c876a87a,5,0.0739418,feat_heavy,0.000516724,6,64,21,7387.55,0.925032,0.0667698
train_c876cbfc,5,0.103512,cost_heavy,1.36334e-05,8,37,14,5413.07,9.78902,0.829053